iter	Passed	Remaining
406	6782	9882
407	6800	9867
408	6818	9852
409	6836	9837
410	6854	9823
411	6873	9810
412	6892	9796
413	6908	9779
414	6926	9764
415	6944	9748
416	6962	9733
417	6980	9718
418	7001	9708
419	7020	9694
420	7037	9678
421	7055	9664
422	7074	9650
423	7096	9640
424	7114	9624
425	7130	9608
426	7150	9594
427	7168	9580
428	7188	9567
429	7207	9554
430	7229	9544
431	7250	9532
432	7270	9520
433	7288	9505
434	7306	9490
435	7327	9479
436	7350	9469
437	7369	9455
438	7389	9443
439	7409	9430
440	7430	9418
441	7448	9402
442	7466	9387
443	7485	9374
444	7506	9361
445	7525	9347
446	7546	9336
447	7567	9323
448	7584	9307
449	7604	9294
450	7622	9278
451	7640	9262
452	7658	9247
453	7678	9234
454	7698	9221
455	7718	9208
456	7742	9199
457	7763	9187
458	7781	9171
459	7801	9158
460	7821	9144
461	7838	9128
462	7854	9110
463	7871	9092
464	7891	9079
465	7909	9063
466	7926	9046
467	7944	9030
468	7962	9014
469	7979	8998
470	7995	8979
471	8010	8961
472	8027	8944
473	8044	8926
474	8061	8909
475	8078	8892
476	8093	8873
477	8110	8856
478	8124	8836
479	8139	8817
480	8155	8800
481	8170	8781
482	8186	8763
483	8201	8743
484	8216	8724
485	8231	8705
486	8246	8686
487	8262	8668
488	8281	8654
489	8299	8638
490	8314	8619
491	8329	8600
492	8345	8582
493	8362	8565
494	8379	8548
495	8393	8529
496	8407	8509
497	8422	8489
498	8439	8473
499	8455	8455
500	8472	8438
501	8488	8420
502	8501	8400
503	8516	8381
504	8532	8363
505	8547	8345
506	8565	8328
507	8579	8309
508	8594	8290
509	8612	8274
510	8627	8255
511	8641	8236
512	8657	8218
513	8671	8198
514	8686	8180
515	8701	8161
516	8717	8143
517	8731	8124
518	8746	8106
519	8762	8088
520	8776	8069
521	8793	8052
522	8807	8032
523	8823	8015
524	8839	7997
525	8855	7980
526	8872	7962
527	8886	7943
528	8900	7924
529	8917	7907
